"date","EAS","ECS","LCN","MEA","NAC","SAS","SSF"
2000,27,83,79,77,87,28,35
2001,28,83,79,76,87,27,37
2002,31,84,79,78,87,27,41
2003,38,99,80,77,87,28,43
2004,45,73,80,77,87,29,45
2005,51,85,80,76,87,31,44
2006,54,86,79,74,87,34,45
2007,56,86,79,74,87,37,45
2008,57,85,80,76,87,38,48
2009,57,89,80,77,87,40,49
2010,58,87,80,76,87,39,49
2011,60,87,81,76,87,39,49
2012,61,87,82,76,87,39,48
2013,61,90,82,75,87,39,48
2014,62,87,82,75,87,49,47
2015,63,89,82,74,87,51,48
2016,66,88,82,75,87,55,49
2017,67,88,82,76,87,55,51
2018,74,87,82,76,87,63,54
2019,74,88,82,76,87,71,56
2020,60,72,69,67,87,56,55
2021,54,72,69,72,70,66,60
